sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,9582.770000000368,2.7592196947884733,671.2,2.7592196947884733,671.2,3473
2,19200.690000000028,48.00172500000007,832.8100000000002,24.000862500000036,832.8100000000001,400
3,22998.230000000007,127.76794444444448,1493.01,42.589314814814834,1274.1,180
4,15262.690000000004,154.1685858585859,872.9300000000003,38.54214646464648,528.3899999999999,99
5,24534.88,285.2893023255814,1725.41,57.057860465116285,670.6000000000001,86
6,19140.24,319.004,1210.75,53.16733333333333,454.2299999999999,60
7,12868.62,313.8687804878049,941.5000000000001,44.838397212543555,292.94000000000005,41
8,15106.470000000001,419.6241666666667,1220.44,52.45302083333334,321.4100000000001,36
9,7148.280000000001,357.41400000000004,1224.9500000000003,39.71266666666667,320.59000000000003,20
10,4033.590000000001,336.1325000000001,1305.13,33.61325000000001,268.9999999999998,12
11,10066.130000000001,479.3395238095239,1517.14,43.576320346320344,339.1299999999999,21
12,1573.3900000000003,224.77000000000004,925.08,18.73083333333334,146.21000000000004,7
13,3898.4,299.8769230769231,886.9000000000001,23.06745562130177,292.39999999999986,13
14,2336.7500000000005,333.8214285714286,1008.38,23.844387755102044,365.4699999999998,7
15,4364.610000000001,396.7827272727273,979.1300000000001,26.452181818181824,428.0899999999999,11
16,2463.110000000001,273.678888888889,1367.3600000000001,17.104930555555562,560.11,9
17,646.8799999999994,215.62666666666647,565.9100000000001,12.683921568627442,145.53999999999996,3
18,1453.6000000000004,363.4000000000001,1195.94,20.188888888888894,278.92999999999984,4
19,2534.1300000000006,422.3550000000001,1535.6700000000003,22.229210526315793,413.28,6
20,193.98999999999978,64.66333333333326,124.95,3.2331666666666634,12.480000000000018,3
21,2118.9,302.7,1002.24,14.414285714285715,451.8800000000001,7
22,1194.0500000000006,199.00833333333344,970.5500000000002,9.045833333333338,351.17999999999984,6
23,466.94000000000096,155.646666666667,243.2800000000002,6.767246376811609,100.6400000000001,3
24,255.72,127.86,135.45,5.327500000000001,17.03,2
25,274.05000000000024,68.51250000000006,125.21000000000001,2.7405000000000026,13.849999999999994,4
26,1234.23,411.41,924.74,15.823461538461538,320.45000000000005,3
27,217.9300000000003,108.96500000000015,109.34999999999991,4.035740740740746,51.49000000000001,2
28,361.93999999999994,120.64666666666665,165.57000000000002,4.308809523809523,10.919999999999987,3
29,344.6700000000001,114.89000000000003,142.25000000000003,3.9617241379310357,69.94000000000005,3
30,149.69,149.69,149.69,4.9896666666666665,25.730000000000004,1
31,1200.5499999999997,600.2749999999999,1172.04,19.36370967741935,178.3900000000001,2
32,1625.1100000000001,406.27750000000003,1173.0800000000002,12.696171875000001,642.0,4
33,112.66000000000008,112.66000000000008,112.66000000000008,3.4139393939393963,32.6099999999999,1
34,480.4200000000001,480.4200000000001,480.4200000000001,14.130000000000003,235.26999999999973,1
35,25.380000000000564,25.380000000000564,25.380000000000564,0.7251428571428733,1.8400000000001453,1
36,164.26999999999998,164.26999999999998,164.26999999999998,4.563055555555555,9.700000000000005,1
37,37.39000000000033,37.39000000000033,37.39000000000033,1.0105405405405494,1.7699999999999818,1
38,231.22,231.22,231.22,6.084736842105263,21.150000000000038,1
40,90.83999999999992,45.41999999999996,76.87999999999988,1.135499999999999,3.229999999999791,2
41,48.81,48.81,48.81,1.1904878048780487,3.280000000000001,1
42,1727.3700000000001,575.7900000000001,1394.96,13.709285714285713,233.17000000000007,3
43,149.49,149.49,149.49,3.476511627906977,9.310000000000002,1
44,136.70000000000002,136.70000000000002,136.70000000000002,3.1068181818181824,7.0,1
45,149.08,149.08,149.08,3.312888888888889,8.309999999999995,1
47,757.6199999999999,378.80999999999995,420.23,8.059787234042552,305.24,2
51,67.74000000000024,67.74000000000024,67.74000000000024,1.3282352941176516,2.4700000000002547,1
55,993.8999999999999,993.8999999999999,993.8999999999999,18.070909090909087,583.9399999999998,1
60,152.9200000000003,152.9200000000003,152.9200000000003,2.5486666666666715,42.14999999999986,1
70,306.09000000000015,306.09000000000015,306.09000000000015,4.372714285714288,114.45000000000005,1
76,2031.1700000000003,2031.1700000000003,2031.1700000000003,26.725921052631584,279.5899999999999,1
77,407.1200000000001,407.1200000000001,407.1200000000001,5.287272727272729,95.58000000000015,1
79,357.3100000000004,357.3100000000004,357.3100000000004,4.522911392405068,209.0900000000004,1
