sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,22653.38,13.468121284185495,50.000000000000455,13.468121284185495,50.000000000000455,1682
2,40169.02,37.931085930122755,789.15,18.965542965061378,739.15,1059
3,40520.52,62.72526315789473,562.3799999999999,20.908421052631578,345.73,646
4,41356.4,94.6370709382151,738.0,23.659267734553776,378.6499999999999,437
5,36704.8,136.95820895522388,554.02,27.391641791044776,380.7300000000001,268
6,34218.68,193.3258757062147,1264.27,32.220979284369115,1014.27,177
7,30521.7,238.45078125,1153.6500000000003,34.06439732142857,576.0900000000001,128
8,33837.479999999996,307.6134545454545,1586.8799999999999,38.45168181818181,932.22,110
9,23662.86,333.27971830985916,980.8600000000001,37.03107981220657,335.6899999999998,71
10,19974.03,384.11596153846153,987.05,38.411596153846155,517.68,52
11,24697.49,574.3602325581396,1213.32,52.2145665961945,723.1600000000001,43
12,21051.59,513.4534146341464,1843.0700000000002,42.78778455284553,741.29,41
13,29404.07,668.2743181818182,1441.3799999999999,51.40571678321678,599.95,44
14,21343.98,711.466,1594.71,50.818999999999996,680.9999999999999,30
15,17137.239999999998,816.0590476190475,1456.7799999999997,54.403936507936514,528.6899999999999,21
16,13474.94,1036.5338461538463,2230.71,64.7833653846154,508.8800000000001,13
17,7273.99,1039.1414285714286,1977.3599999999997,61.12596638655462,1106.62,7
18,3643.13,728.626,1182.9900000000002,40.47922222222222,271.68000000000006,5
19,13030.949999999999,1184.631818181818,1832.43,62.349043062200955,406.0200000000002,11
20,6673.69,1112.2816666666665,1477.3199999999997,55.61408333333333,410.26,6
21,9983.7,1247.9625,1957.3000000000002,59.426785714285714,662.4699999999998,8
22,8044.6,1608.92,1808.02,73.13272727272728,451.5200000000002,5
23,3763.3900000000003,1254.4633333333334,1881.28,54.541884057971025,455.19999999999993,3
24,6700.87,1340.174,1676.07,55.840583333333335,325.98,5
25,3419.3899999999994,1709.6949999999997,2041.7999999999997,68.3878,348.8399999999999,2
26,3108.81,1554.405,1745.49,59.784807692307695,197.65999999999983,2
27,3236.24,1618.12,1639.96,59.93037037037037,213.02,2
28,2688.22,1344.11,2004.8899999999999,48.003928571428574,290.73,2
29,4754.72,1584.9066666666668,1857.38,54.65195402298851,435.1399999999999,3
31,2206.82,2206.82,2206.82,71.18774193548387,260.31999999999994,1
32,6417.64,2139.2133333333336,2308.4300000000003,66.85041666666667,457.4000000000001,3
34,2161.17,2161.17,2161.17,63.56382352941176,428.53,1
35,1994.6400000000003,1994.6400000000003,1994.6400000000003,56.98971428571429,124.24,1
