,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,84147.62000000001,101.75044740024185,691.4599999999998,101.75044740024185,691.4599999999998,827
1,2,119511.28,244.39934560327197,1088.9699999999998,122.19967280163598,871.0799999999999,489
2,3,75040.25,414.5870165745856,1176.6,138.19567219152856,942.31,181
3,4,61572.01,615.7201,1784.21,153.930025,812.01,100
4,5,19108.63,682.4510714285715,1680.3100000000002,136.4902142857143,572.5800000000002,28
5,6,16208.04,736.7290909090909,1331.8700000000001,122.78818181818183,390.0,22
6,7,9518.72,865.3381818181817,1410.31,123.61974025974027,373.69,11
7,8,3030.92,1010.3066666666667,1249.19,126.28833333333334,280.5,3
8,9,4343.779999999999,1085.9449999999997,1206.82,120.66055555555553,269.49,4
9,10,1579.4699999999998,1579.4699999999998,1579.4699999999998,157.94699999999997,310.79,1
10,11,2725.61,1362.805,1581.27,123.89136363636365,333.52999999999975,2
11,12,3544.32,1772.16,1904.3300000000002,147.68,302.9699999999999,2
12,13,1227.5,1227.5,1227.5,94.42307692307692,195.38999999999987,1
13,15,1601.0,1601.0,1601.0,106.73333333333333,204.85,1
